n,modo,ordem_criacao,ordem_termino,bateu,inversoes
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
